/Users/hjiang/Developer/chemical-transformer/ct/singletest.py:126: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /Users/runner/work/pytorch/pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:823.)
  f"{float(ce):.4f} | held {m['loss']:.4f} | acc "
[dense/s1] step 250 | loss 1.5335 | held 1.4805 | acc 0.355 | 166s
[dense/s1] step 500 | loss 1.4064 | held 1.4142 | acc 0.376 | 431s
[dense/s1] step 750 | loss 1.3524 | held 1.3762 | acc 0.408 | 741s
[dense/s1] step 1000 | loss 1.3112 | held 1.3167 | acc 0.482 | 1031s
[dense/s1] step 1250 | loss 1.2980 | held 1.2681 | acc 0.522 | 1396s
[dense/s1] step 1500 | loss 1.2585 | held 1.2707 | acc 0.508 | 1683s
[dense/s1] step 1750 | loss 1.2358 | held 1.2422 | acc 0.551 | 1986s
[dense/s1] step 2000 | loss 1.2647 | held 1.2313 | acc 0.568 | 2275s
[dense/s1] step 2250 | loss 1.1934 | held 1.2088 | acc 0.609 | 2609s
[dense/s1] step 2500 | loss 1.1743 | held 1.1661 | acc 0.646 | 2924s
[dense/s1] step 2750 | loss 1.1421 | held 1.1595 | acc 0.660 | 3244s
[dense/s1] step 3000 | loss 1.0960 | held 1.1177 | acc 0.701 | 3566s
[dense/s1] step 3250 | loss 1.1149 | held 1.1313 | acc 0.681 | 3891s
[dense/s1] step 3500 | loss 1.0821 | held 1.1042 | acc 0.714 | 4229s
[dense/s1] step 3750 | loss 1.0676 | held 1.0919 | acc 0.731 | 4554s
[dense/s1] step 4000 | loss 1.0800 | held 1.0886 | acc 0.728 | 4823s
[dense/s1] step 4250 | loss 1.0563 | held 1.0854 | acc 0.729 | 5127s
[dense/s1] step 4500 | loss 1.0710 | held 1.0961 | acc 0.729 | 5645s
[dense/s1] step 4750 | loss 1.0353 | held 1.0740 | acc 0.747 | 5945s
[dense/s1] step 5000 | loss 1.0797 | held 1.0763 | acc 0.742 | 7059s
[dense/s1] step 5250 | loss 1.0641 | held 1.0660 | acc 0.755 | 7271s
[dense/s1] step 5500 | loss 1.0506 | held 1.0640 | acc 0.754 | 7523s
[dense/s1] step 5750 | loss 1.1190 | held 1.1002 | acc 0.721 | 7786s
[dense/s1] step 6000 | loss 1.0589 | held 1.0573 | acc 0.763 | 8056s
[dense/s1] step 6250 | loss 1.0912 | held 1.0681 | acc 0.749 | 8328s
[dense/s1] step 6500 | loss 1.0344 | held 1.0541 | acc 0.767 | 8608s
[dense/s1] step 6750 | loss 1.0640 | held 1.0526 | acc 0.774 | 8884s
[dense/s1] step 7000 | loss 1.0395 | held 1.0472 | acc 0.778 | 9163s
[dense/s1] step 7250 | loss 1.0361 | held 1.0458 | acc 0.778 | 9440s
[dense/s1] step 7500 | loss 1.0534 | held 1.0678 | acc 0.762 | 9720s
[dense/s1] step 7750 | loss 1.0312 | held 1.0448 | acc 0.783 | 10001s
[dense/s1] step 8000 | loss 1.0330 | held 1.0366 | acc 0.791 | 10281s
[dense/s1] step 8250 | loss 1.0279 | held 1.0373 | acc 0.793 | 10561s
[dense/s1] step 8500 | loss 1.0315 | held 1.0380 | acc 0.788 | 10850s
[dense/s1] step 8750 | loss 1.0252 | held 1.0297 | acc 0.800 | 11124s
[dense/s1] step 9000 | loss 1.0412 | held 1.0459 | acc 0.787 | 11393s
[dense/s1] step 9250 | loss 1.0249 | held 1.0341 | acc 0.797 | 11664s
[dense/s1] step 9500 | loss 1.0288 | held 1.0244 | acc 0.811 | 11935s
[dense/s1] step 9750 | loss 1.0295 | held 1.0220 | acc 0.815 | 12203s
[dense/s1] step 10000 | loss 1.0385 | held 1.0315 | acc 0.803 | 12469s
saved results-headroom/convergence_dense_seed1.json
/Users/hjiang/Developer/chemical-transformer/ct/singletest.py:126: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /Users/runner/work/pytorch/pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:823.)
  f"{float(ce):.4f} | held {m['loss']:.4f} | acc "
[shuffled/s1] step 250 | loss 1.6290 | held 1.5927 | acc 0.340 | 291s
[shuffled/s1] step 500 | loss 1.4907 | held 1.6183 | acc 0.351 | 560s
[shuffled/s1] step 750 | loss 1.4385 | held 1.4848 | acc 0.336 | 823s
[shuffled/s1] step 1000 | loss 1.4258 | held 1.4458 | acc 0.354 | 1089s
[shuffled/s1] step 1250 | loss 1.4181 | held 1.4530 | acc 0.372 | 1353s
[shuffled/s1] step 1500 | loss 1.3601 | held 1.3588 | acc 0.421 | 1615s
[shuffled/s1] step 1750 | loss 1.3292 | held 1.3122 | acc 0.473 | 1874s
[shuffled/s1] step 2000 | loss 1.3381 | held 1.2965 | acc 0.484 | 2136s
[shuffled/s1] step 2250 | loss 1.2940 | held 1.2742 | acc 0.514 | 2449s
[shuffled/s1] step 2500 | loss 1.3203 | held 1.3119 | acc 0.490 | 2727s
[shuffled/s1] step 2750 | loss 1.2670 | held 1.2620 | acc 0.525 | 3008s
[shuffled/s1] step 3000 | loss 1.2478 | held 1.2522 | acc 0.535 | 3323s
[shuffled/s1] step 3250 | loss 1.2501 | held 1.2533 | acc 0.539 | 3642s
[shuffled/s1] step 3500 | loss 1.2524 | held 1.2502 | acc 0.541 | 3948s
[shuffled/s1] step 3750 | loss 1.2376 | held 1.2379 | acc 0.548 | 4363s
[shuffled/s1] step 4000 | loss 1.2493 | held 1.2319 | acc 0.562 | 4646s
[shuffled/s1] step 4250 | loss 1.2219 | held 1.2156 | acc 0.578 | 5058s
[shuffled/s1] step 4500 | loss 1.2098 | held 1.2028 | acc 0.602 | 5463s
[shuffled/s1] step 4750 | loss 1.1784 | held 1.1930 | acc 0.611 | 5680s
[shuffled/s1] step 5000 | loss 1.2034 | held 1.1861 | acc 0.616 | 5871s
[shuffled/s1] step 5250 | loss 1.1931 | held 1.1795 | acc 0.626 | 6020s
[shuffled/s1] step 5500 | loss 1.1722 | held 1.1714 | acc 0.638 | 8371s
[shuffled/s1] step 5750 | loss 1.1705 | held 1.1424 | acc 0.671 | 8514s
[shuffled/s1] step 6000 | loss 1.1414 | held 1.1310 | acc 0.680 | 9003s
[shuffled/s1] step 6250 | loss 1.1314 | held 1.1138 | acc 0.705 | 9264s
[shuffled/s1] step 6500 | loss 1.0910 | held 1.1087 | acc 0.708 | 9407s
[shuffled/s1] step 6750 | loss 1.1236 | held 1.1070 | acc 0.713 | 9583s
[shuffled/s1] step 7000 | loss 1.0985 | held 1.1046 | acc 0.711 | 9799s
[shuffled/s1] step 7250 | loss 1.0884 | held 1.0961 | acc 0.722 | 9994s
[shuffled/s1] step 7500 | loss 1.0757 | held 1.0932 | acc 0.728 | 10163s
[shuffled/s1] step 7750 | loss 1.0802 | held 1.0875 | acc 0.735 | 10334s
[shuffled/s1] step 8000 | loss 1.0825 | held 1.0872 | acc 0.732 | 10504s
[shuffled/s1] step 8250 | loss 1.0810 | held 1.0867 | acc 0.736 | 10676s
[shuffled/s1] step 8500 | loss 1.0759 | held 1.0850 | acc 0.737 | 10850s
[shuffled/s1] step 8750 | loss 1.0776 | held 1.0826 | acc 0.739 | 11022s
[shuffled/s1] step 9000 | loss 1.0775 | held 1.0800 | acc 0.740 | 11196s
[shuffled/s1] step 9250 | loss 1.0729 | held 1.0802 | acc 0.737 | 11369s
[shuffled/s1] step 9500 | loss 1.0816 | held 1.0794 | acc 0.743 | 11586s
[shuffled/s1] step 9750 | loss 1.0881 | held 1.0808 | acc 0.745 | 11840s
[shuffled/s1] step 10000 | loss 1.0896 | held 1.0863 | acc 0.740 | 12097s
deploy-with-gates eval: 1.0863167973795127 0.7400520281337316
saved results-headroom/convergence_rotation_seed1.json
CONVERGENCE_DONE
